,Model,Test_Year,Train_Years,Train_Rows,Test_Rows,Train_Time_Seconds,R2,RMSE,MAE,Total_Run_Time_Seconds,Target
105,rf,2021,2017–2020,992,251,6.5673,-0.06720897129982673,0.03212366409464122,0.025013679104677184,90.51,Gold-T+14
106,rf,2022,2018–2021,997,250,8.2045,-0.024564958806290393,0.03569404954583065,0.02903273345114134,90.51,Gold-T+14
107,rf,2023,2019–2022,1000,247,8.1686,-0.0033108301586681765,0.0319102813999984,0.025745566699859154,90.51,Gold-T+14
108,rf,2024,2020–2023,999,249,7.0393,-0.15072658793401073,0.03396555043447584,0.026592571053593233,90.51,Gold-T+14
109,rf,2025,2021–2024,997,177,7.4726,-0.44724827732603467,0.04011954045571979,0.032236933222651594,90.51,Gold-T+14
110,gbr,2015,2011–2014,989,249,10.5434,-0.029317141601084895,0.03527757035259595,0.028052493663307563,120.157,Gold-T+14
111,gbr,2016,2012–2015,987,247,9.7198,-0.06190888121600424,0.04104557103953507,0.03309654089902079,120.157,Gold-T+14
112,gbr,2017,2013–2016,990,246,9.814,-0.1869529585608687,0.02887077271672686,0.02445889085919486,120.157,Gold-T+14
113,gbr,2018,2014–2017,988,247,11.0399,-0.010185043376312874,0.019199196755038894,0.01587884711584634,120.157,Gold-T+14
114,gbr,2019,2015–2018,989,248,9.482,-0.1732868517018875,0.02653394840438548,0.020730009412394577,120.157,Gold-T+14
115,gbr,2020,2016–2019,988,251,9.8379,-0.0045394141975336755,0.03950712158813103,0.029462375014876988,120.157,Gold-T+14
116,gbr,2021,2017–2020,992,251,9.4794,-0.07026487250195346,0.03216962349568912,0.02502852333308472,120.157,Gold-T+14
117,gbr,2022,2018–2021,997,250,9.4992,-0.0010465849068017619,0.035282001743246694,0.02906200788185575,120.157,Gold-T+14
118,gbr,2023,2019–2022,1000,247,10.0111,-6.906618684054955e-05,0.03185868757053348,0.025577490038356288,120.157,Gold-T+14
119,gbr,2024,2020–2023,999,249,10.1224,-0.15993501094713447,0.03410118036385436,0.02668354510296574,120.157,Gold-T+14
120,gbr,2025,2021–2024,997,177,9.2956,-0.431266767005986,0.0398974117569618,0.03209381402268556,120.157,Gold-T+14
121,catboost,2015,2011–2014,989,249,46.3242,-0.022119275629115975,0.0351540084862111,0.02817463712217471,575.961,Gold-T+14
122,catboost,2016,2012–2015,987,247,47.2389,-0.07162612305759031,0.04123294184732202,0.033252384047280203,575.961,Gold-T+14
123,catboost,2017,2013–2016,990,246,51.502,-0.21922906515123985,0.029260672799073347,0.024830518912845902,575.961,Gold-T+14
124,catboost,2018,2014–2017,988,247,49.6184,0.09552872041943228,0.018166864740413676,0.014991218780416694,575.961,Gold-T+14
125,catboost,2019,2015–2018,989,248,50.7582,-0.18026125815455551,0.02661269485190155,0.020748321881041896,575.961,Gold-T+14
126,catboost,2020,2016–2019,988,251,51.0215,-0.014269952937725927,0.03969800464973102,0.029671270159260237,575.961,Gold-T+14
127,catboost,2021,2017–2020,992,251,50.0232,-0.06673084165741594,0.03211646728636092,0.02500721768541146,575.961,Gold-T+14
